trial_id,position,was_clicked,n_fixations,total_dwell_ms,click_pos,entry_t,exit_t,min_dist,mean_dist,final_dist,retreat_dist,dwell_in_proximity_ms,mean_approach_velocity,max_approach_velocity,direction_changes,frac_decreasing,etype,four_class_label
p004-b1-t1,0,False,4,840.0,3,1671196599409,1671196602766,537.6673590451303,564.6654324960613,544.6811118850878,7.013752839957533,0,5.0,5.0,0,0.6666666666666666,organic,not_approached
p004-b1-t1,2,False,1,220.0,3,1671196600501,1671196600501,685.2889421667734,685.2889421667734,685.2889421667734,0,0,107.5,107.5,0,0.5,organic,not_approached
p004-b1-t1,3,True,8,2881.0,3,1671196600702,1671196604949,156.42570121306792,563.771326478398,156.42570121306792,0.0,1641.0,184.1041666666665,321.4166666666665,0,0.7142857142857143,organic,clicked
p004-b1-t1,1,False,3,467.0,3,1671196601258,1671196602404,526.9299120880816,591.5756515838465,695.0765162266803,168.14660413859872,0,0,0,0,0.0,organic,not_approached
p004-b1-t2,0,True,8,2102.0,0,1671196621622,1671196626485,616.4000324464624,771.9333700608626,824.3348834060099,207.93485095954748,0,0,0,0,0.42857142857142855,organic,clicked
p004-b1-t2,2,False,11,2320.0,0,1671196622285,1671196630565,499.94952870264814,642.1274867168321,619.8653079500417,119.91577924739357,0,30.78125,30.78125,0,0.3,organic,not_approached
p004-b1-t2,3,False,5,1994.0,0,1671196622619,1671196630431,654.5418244848835,765.5909541506855,654.5418244848835,0.0,0,0,0,0,0.5,organic,not_approached
p004-b1-t3,0,False,9,1465.0,2,1671196645405,1671196654400,501.9581655875318,681.4672883081447,627.4009882045134,125.44282261698157,1050.0,0,0,0,0.25,dd_top,not_approached
p004-b1-t3,1,False,16,4649.0,2,1671196647288,1671196653677,231.3547060251855,699.563450385412,231.3547060251855,0.0,0,-128.06250000000006,-42.5,0,0.6666666666666666,organic,not_approached
p004-b1-t3,2,True,4,1391.0,2,1671196650166,1671196651473,606.2161330746651,828.5151171888724,1000.3324447402473,394.1163116655822,0,0,0,0,0.6666666666666666,organic,clicked
p004-b1-t4,0,False,3,601.0,2,1671196668909,1671196675011,162.92636373527768,447.2991988905008,578.3632076818164,415.4368439465388,0,0,0,0,0.5,native_ad,not_approached
p004-b1-t4,1,False,12,4578.0,2,1671196669204,1671196673960,64.10938964637279,527.1791704792989,172.246915792417,108.13752614604422,0,211.28090659340663,647.1153846153846,1,0.2727272727272727,native_ad,deferred
p004-b1-t4,2,True,1,280.0,2,1671196670490,1671196670490,792.5837495179926,792.5837495179926,792.5837495179926,0,0,0,0,0,0.5,organic,clicked
p004-b1-t5,0,False,9,2031.0,2,1671196687609,1671196691294,111.8257573191436,611.3770557784584,765.2045478171179,653.3787904979744,0,0,0,0,0.5,native_ad,not_approached
p004-b1-t5,1,False,24,5607.0,2,1671196691568,1671196699037,187.49470825865993,425.26677616079195,187.49470825865993,0.0,381.0,121.50451468466183,388.0238970588235,1,0.4782608695652174,native_ad,not_approached
p004-b1-t5,2,True,20,6780.0,2,1671196695774,1671196704161,101.24228365658294,256.07914865446855,117.72000679578642,16.477723139203476,1805.0,-6.63210296137688,120.47619047619065,4,0.5263157894736842,organic,clicked
p004-b1-t6,0,False,13,3985.0,2,1671196718681,1671196731314,445.9529123124996,571.1611291268666,445.9529123124996,0.0,0,0,0,0,0.4166666666666667,dd_top,not_approached
p004-b1-t6,2,True,18,4885.0,2,1671196723363,1671196729572,103.411195876104,673.0969194455205,169.0266251216062,65.6154292455022,1478.0,479.6968524251806,812.156862745098,0,0.5294117647058824,organic,clicked
p004-b1-t6,1,False,4,1237.0,2,1671196725419,1671196730390,319.0814942926023,493.8186624719258,358.50941410233565,39.42791980973334,0,0,0,0,0.3333333333333333,native_ad,not_approached
p004-b1-t6,3,False,1,777.0,2,1671196727248,1671196727248,1117.941411702778,1117.941411702778,1117.941411702778,0,0,0,0,0,0.5,organic,not_approached
p004-b1-t7,0,True,8,2166.0,0,1671196743951,1671196745893,397.2228593623484,675.2974809274049,736.2961360756962,339.07327671334775,0,0,0,0,0.5714285714285714,organic,clicked
p004-b1-t8,0,False,4,950.0,2,1671196762013,1671196767955,608.9671583919777,795.0424271187993,851.6014325962586,242.63427420428093,950.0,0,0,0,0.6666666666666666,organic,not_approached
p004-b1-t8,2,True,4,1366.0,2,1671196762475,1671196765315,498.6963003672676,738.8373697342752,934.2917103346256,435.59540996735797,0,0,0,0,0.3333333333333333,organic,clicked
p004-b1-t8,4,False,3,1506.0,2,1671196763245,1671196764853,730.6161783043132,923.6624681111242,998.9179145455346,268.3017362412214,0,0,0,0,0.5,organic,not_approached
p004-b1-t8,3,False,2,286.0,2,1671196763399,1671196763566,706.6102178712108,790.8762460093388,875.1422741474669,168.53205627625607,0,0,0,0,0.5,organic,not_approached
p004-b1-t8,1,False,11,3021.0,2,1671196765731,1671196770358,54.817880294662984,494.49096936835343,75.61084578286372,20.792965488200736,1183.0,-15.750000000000028,-15.750000000000028,0,0.7,organic,deferred
p004-b2-t2,0,False,15,2928.0,1,1671197060054,1671197071421,520.6815762742513,646.9459483029783,585.7069212978877,65.02534502363642,0,5.190630797773679,49.41666666666663,4,0.5,native_ad,not_approached
p004-b2-t2,1,True,33,8664.0,1,1671197060630,1671197073839,74.54770919850971,449.54952539451267,194.98717906570164,120.43946986719193,1518.0,18.833314700865028,560.2532679738562,10,0.40625,native_ad,clicked
p004-b2-t2,2,False,4,1244.0,1,1671197063832,1671197064763,938.9291773078521,1041.0396921010997,1116.0044802777452,177.07530296989307,0,0,0,0,0.3333333333333333,organic,not_approached
p004-b2-t3,1,True,24,7094.0,1,1671197087839,1671197107373,138.79641365843872,1042.9081900998183,181.10770276274835,42.31128910430962,1043.0,-6.770833333333333,10.9375,1,0.6521739130434783,organic,clicked
p004-b2-t3,0,False,17,3672.0,1,1671197087947,1671197097553,1408.9815470757592,1592.8102061582267,1412.0226627076493,3.0411156318900794,0,0,0,0,0.5,dd_top,not_approached
p004-b2-t3,2,False,6,1168.0,1,1671197098638,1671197105055,426.48211623214263,695.685788058944,426.48211623214263,0.0,0,0,0,0,0.8,organic,not_approached
p004-b2-t3,3,False,10,2548.0,1,1671197100232,1671197104210,569.8780571315235,676.9628898241084,639.9143673112508,70.03631017972725,0,123.05128205128199,123.05128205128199,0,0.5555555555555556,organic,not_approached
p004-b2-t3,4,False,2,454.0,1,1671197103528,1671197103668,450.2371200916136,455.45979179770717,450.2371200916136,0.0,0,-64.74873737373741,-27.111111111111086,0,0.5,organic,not_approached
p004-b2-t4,0,False,3,734.0,1,1671197122334,1671197123185,433.09698682858556,497.8057661650662,433.09698682858556,0.0,0,0,0,0,1.0,dd_top,not_approached
